Name,Year,Month,Time,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
KIAMO-Accra,2003,09,15:00,72,71,71,75,74,74,75,65,71,71,68,68,71,64,65,64,63,71,71,70,63,68,62,63,71,65,66,65,61,98,
KIAMO-Accra,2003,10,06:00,95,89,86,92,92,93,93,93,90,88,92,91,92,92,94,92,88,90,93,96,93,87,93,94,94,92,91,92,88,94,91
KIAMO-Accra,2003,10,15:00,65,68,66,64,65,71,70,69,68,65,60,69,66,76,66,77,78,67,70,65,64,63,60,69,68,60,59,60,66,70,70
KIAMO-Accra,2003,11,06:00,93,89,93,90,88,89,92,90,90,93,94,91,89,93,89,90,90,92,91,93,93,92,93,93,88,92,84,92,92,92,
KIAMO-Accra,2003,11,15:00,69,61,69,60,67,67,65,64,60,68,63,58,63,61,59,65,67,61,63,68,69,61,48,66,65,67,65,69,59,64,
KIAMO-Accra,2003,12,06:00,92,88,88,92,92,90,91,93,92,92,91,90,84,80,88,95,93,92,92,92,92,90,88,92,92,92,93,93,64,75,69
KIAMO-Accra,2003,12,15:00,58,66,69,68,67,71,67,66,55,61,58,65,63,63,89,63,61,60,67,66,52,66,66,66,67,73,60,36,29,53,74
KIAMO-Accra,2004,01,06:00,88,89,90,94,91,90,90,92,95,94,75,83,92,93,94,84,90,90,94,92,94,96,80,93,94,93,88,91,92,93,93
KIAMO-Accra,2004,01,15:00,61,64,59,65,65,69,66,69,71,39,54,62,70,69,66,67,57,68,68,72,65,58,55,66,59,63,67,57,60,64,61
KIAMO-Accra,2004,02,06:00,94,92,88,92,73,63,59,65,88,85,82,88,88,90,92,84,93,90,90,91,90,88,92,79,91,92,89,90,85,,
